Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.39,-.54,-.24,-.31,-.05,-.18,-.23,-.27,-.26,-.31,-.46,-.43,-.31,***,***,-.20,-.23,-.34
1881,-.31,-.26,-.07,-.03,.03,-.34,.08,-.06,-.29,-.45,-.38,-.24,-.19,-.21,-.33,-.02,-.11,-.37
1882,.25,.20,.01,-.31,-.24,-.29,-.28,-.17,-.26,-.53,-.34,-.69,-.22,-.18,.07,-.18,-.25,-.38
1883,-.58,-.66,-.15,-.30,-.26,-.11,-.06,-.23,-.34,-.16,-.45,-.15,-.29,-.33,-.64,-.24,-.13,-.32
1884,-.17,-.11,-.64,-.59,-.36,-.41,-.41,-.51,-.45,-.45,-.58,-.47,-.43,-.40,-.14,-.53,-.45,-.49
1885,-1.00,-.46,-.24,-.49,-.58,-.45,-.34,-.41,-.39,-.36,-.38,-.11,-.44,-.47,-.64,-.44,-.40,-.38
1886,-.74,-.84,-.71,-.36,-.33,-.37,-.14,-.42,-.33,-.31,-.40,-.22,-.43,-.42,-.57,-.47,-.31,-.35
1887,-1.08,-.70,-.44,-.38,-.25,-.21,-.24,-.55,-.21,-.49,-.27,-.43,-.44,-.42,-.66,-.36,-.33,-.32
1888,-.48,-.61,-.63,-.21,-.15,-.02,.00,-.21,-.19,-.03,-.01,-.23,-.23,-.25,-.50,-.33,-.08,-.08
1889,-.27,.29,-.01,.17,-.03,-.07,-.08,-.20,-.30,-.41,-.61,-.54,-.17,-.15,-.07,.04,-.12,-.44
1890,-.63,-.57,-.47,-.25,-.35,-.16,-.23,-.39,-.35,-.10,-.63,-.47,-.38,-.39,-.58,-.36,-.26,-.36
1891,-.45,-.66,-.15,-.35,-.15,-.12,-.11,-.11,-.07,-.27,-.51,-.01,-.25,-.29,-.53,-.22,-.11,-.28
1892,-.47,-.18,-.65,-.44,-.22,-.05,-.37,-.33,-.20,-.26,-.82,-.65,-.39,-.33,-.22,-.44,-.25,-.43
1893,-1.49,-.94,-.32,-.29,-.43,-.17,-.14,-.33,-.29,-.28,-.33,-.60,-.47,-.47,-1.03,-.35,-.21,-.30
1894,-.90,-.42,-.21,-.53,-.25,-.40,-.20,-.27,-.32,-.27,-.48,-.35,-.38,-.40,-.64,-.33,-.29,-.36
1895,-.69,-.80,-.49,-.18,-.29,-.20,-.18,-.27,-.05,-.10,-.13,-.23,-.30,-.31,-.61,-.32,-.22,-.09
1896,-.36,-.18,-.49,-.61,-.17,.07,.01,-.11,-.12,.05,-.20,-.21,-.19,-.20,-.25,-.42,-.01,-.09
1897,-.40,-.42,-.40,-.04,.13,-.06,.04,-.06,-.06,-.15,-.26,-.29,-.16,-.16,-.34,-.10,-.03,-.16
1898,.05,-.45,-.81,-.28,-.28,-.08,-.12,-.18,-.18,-.37,-.51,-.26,-.29,-.29,-.23,-.46,-.13,-.35
1899,-.13,-.64,-.59,-.22,-.24,-.35,-.16,-.06,-.05,.04,.36,-.46,-.21,-.19,-.34,-.35,-.19,.12
1900,-.61,-.13,.06,-.09,-.02,-.09,-.10,-.08,-.03,.23,-.12,-.03,-.08,-.12,-.40,-.02,-.09,.03
1901,-.33,-.10,.27,.11,-.11,.02,.02,-.16,-.27,-.32,-.19,-.39,-.12,-.09,-.15,.09,-.04,-.26
1902,-.13,-.03,-.37,-.37,-.39,-.39,-.32,-.29,-.33,-.32,-.46,-.60,-.34,-.32,-.18,-.38,-.34,-.37
1903,-.23,.12,-.17,-.47,-.43,-.46,-.43,-.56,-.49,-.46,-.41,-.57,-.38,-.38,-.24,-.36,-.48,-.45
1904,-.75,-.62,-.46,-.51,-.44,-.49,-.59,-.54,-.63,-.39,-.09,-.34,-.49,-.51,-.64,-.47,-.54,-.37
1905,-.41,-.82,-.23,-.45,-.29,-.28,-.22,-.24,-.19,-.27,.08,-.17,-.29,-.30,-.52,-.32,-.24,-.13
1906,-.56,-.53,-.21,.04,-.25,-.11,-.26,-.17,-.24,-.18,-.40,.02,-.24,-.25,-.42,-.14,-.18,-.27
1907,-.58,-.73,-.31,-.45,-.59,-.51,-.40,-.39,-.41,-.19,-.56,-.58,-.48,-.42,-.43,-.45,-.43,-.39
1908,-.53,-.27,-.70,-.47,-.28,-.29,-.35,-.57,-.31,-.45,-.63,-.55,-.45,-.45,-.46,-.49,-.40,-.46
1909,-.93,-.45,-.66,-.65,-.49,-.52,-.45,-.36,-.38,-.34,-.12,-.57,-.49,-.49,-.64,-.60,-.44,-.28
1910,-.35,-.37,-.49,-.41,-.29,-.44,-.38,-.40,-.43,-.31,-.62,-.81,-.44,-.42,-.43,-.40,-.40,-.45
1911,-.70,-.58,-.63,-.45,-.45,-.35,-.39,-.44,-.38,-.19,-.20,-.30,-.42,-.46,-.70,-.51,-.39,-.26
1912,-.34,-.16,-.60,-.16,-.12,-.14,-.52,-.77,-.80,-.84,-.51,-.57,-.46,-.44,-.27,-.29,-.48,-.72
1913,-.55,-.64,-.47,-.50,-.54,-.49,-.51,-.47,-.42,-.39,-.15,.11,-.42,-.48,-.59,-.50,-.49,-.32
1914,.17,-.10,-.35,-.39,-.19,-.22,-.34,-.28,-.30,-.01,-.22,-.05,-.19,-.18,.06,-.31,-.28,-.17
1915,-.26,-.09,-.24,.07,-.01,-.12,-.10,-.16,-.21,-.27,-.03,-.24,-.14,-.12,-.13,-.06,-.13,-.17
1916,-.10,-.17,-.39,-.34,-.38,-.50,-.34,-.37,-.49,-.36,-.47,-1.13,-.42,-.35,-.17,-.37,-.41,-.44
1917,-.52,-.69,-.74,-.64,-.73,-.49,-.33,-.40,-.31,-.63,-.32,-1.06,-.57,-.58,-.78,-.71,-.41,-.42
1918,-.69,-.46,-.25,-.59,-.49,-.46,-.34,-.37,-.26,-.05,-.22,-.56,-.40,-.44,-.74,-.44,-.39,-.18
1919,-.38,-.40,-.38,-.23,-.42,-.39,-.33,-.31,-.19,-.09,-.48,-.55,-.35,-.35,-.45,-.35,-.34,-.25
1920,-.15,-.29,.00,-.21,-.21,-.26,-.25,-.31,-.35,-.40,-.45,-.71,-.30,-.29,-.33,-.14,-.27,-.40
1921,.19,-.09,-.11,-.17,-.25,-.14,-.03,-.30,-.18,.00,-.11,-.13,-.11,-.16,-.21,-.18,-.16,-.10
1922,-.38,-.62,-.11,-.16,-.18,-.15,-.27,-.36,-.42,-.30,-.12,-.16,-.27,-.27,-.38,-.15,-.26,-.28
1923,-.17,-.47,-.39,-.53,-.39,-.24,-.29,-.28,-.17,.06,.16,.11,-.22,-.24,-.26,-.44,-.27,.02
1924,-.27,-.19,.03,-.25,-.06,-.19,-.22,-.26,-.22,-.23,.12,-.36,-.18,-.14,-.12,-.09,-.22,-.11
1925,-.26,-.36,-.22,-.15,-.21,-.26,-.26,-.20,-.05,-.09,.24,.23,-.13,-.18,-.33,-.19,-.24,.03
1926,.54,.19,.39,-.12,-.23,-.20,-.20,-.06,-.03,.06,.17,-.29,.02,.06,.32,.01,-.15,.07
1927,-.27,-.07,-.46,-.26,-.14,-.14,-.08,-.16,.03,.25,.10,-.37,-.13,-.12,-.21,-.29,-.12,.13
1928,.26,.09,-.22,-.32,-.17,-.32,-.11,-.19,-.16,-.09,.04,-.03,-.10,-.13,-.01,-.24,-.21,-.07
1929,-.55,-.78,-.18,-.34,-.27,-.38,-.35,-.19,-.21,-.01,-.02,-.65,-.33,-.28,-.45,-.26,-.31,-.08
1930,-.11,-.18,.12,-.14,-.19,-.11,-.03,.02,-.02,.03,.45,.10,-.01,-.07,-.32,-.07,-.04,.16
1931,.02,-.21,-.05,-.19,-.13,.16,.09,.11,.19,.38,.27,.12,.06,.06,-.03,-.12,.12,.28
1932,.41,-.17,-.19,.11,-.09,-.13,-.13,-.06,.12,.15,-.31,-.21,-.04,-.02,.12,-.06,-.11,-.01
1933,-.17,-.29,-.30,-.16,-.24,-.30,-.13,-.13,-.27,-.16,-.23,-.53,-.24,-.21,-.22,-.23,-.19,-.22
1934,-.13,.34,-.26,-.28,.09,-.01,-.03,-.09,-.13,.14,.27,.18,.01,-.05,-.11,-.15,-.04,.09
1935,-.40,.57,.04,-.35,-.28,-.14,-.03,-.06,-.05,.12,-.31,-.16,-.09,-.06,.12,-.20,-.08,-.08
1936,-.28,-.49,-.11,-.05,.01,.04,.09,.03,.07,.08,.16,.15,-.02,-.05,-.31,-.05,.05,.10
1937,.09,.24,-.22,-.06,.12,.15,.15,.16,.29,.33,.24,.00,.12,.14,.16,-.06,.15,.29
1938,.36,.29,.35,.32,.03,-.06,-.02,.08,.15,.32,.31,-.12,.16,.18,.21,.23,.00,.26
1939,.03,-.01,-.24,-.08,.01,.00,.06,.08,.12,.07,.25,.78,.09,.02,-.03,-.10,.05,.15
1940,-.10,.14,.03,.28,.16,.17,.15,.07,.26,.28,.30,.36,.18,.21,.27,.16,.13,.28
1941,.18,.47,.13,.13,.23,.21,.25,.19,.10,.51,.18,.19,.23,.25,.34,.16,.22,.26
1942,.40,-.09,.00,.09,.17,.11,-.01,-.08,.11,.28,.26,.27,.13,.12,.17,.09,.01,.22
1943,-.09,.38,.00,.31,.23,-.07,-.02,.10,.14,.46,.36,.38,.18,.17,.19,.18,.01,.32
1944,.63,.44,.32,.19,.24,.17,.15,.17,.36,.44,.20,.00,.27,.31,.48,.25,.16,.33
1945,.11,-.06,.10,.29,.08,.08,.07,.28,.21,.24,.09,-.21,.11,.12,.02,.16,.14,.18
1946,.35,.09,.12,.32,.04,-.05,-.04,-.10,-.03,.02,.07,-.45,.03,.05,.07,.16,-.06,.02
1947,-.04,-.03,.29,.23,.07,.00,-.03,-.04,-.01,.40,.19,-.05,.08,.05,-.17,.19,-.02,.19
1948,.30,-.14,-.27,-.03,.17,.04,.01,.03,-.03,.08,.04,-.39,-.02,.01,.04,-.04,.03,.03
1949,.23,-.09,.04,-.03,.00,-.20,-.11,-.05,-.10,.07,.05,-.14,-.03,-.05,-.09,.01,-.12,.01
1950,-.29,-.27,.06,-.22,-.04,-.07,-.18,-.20,-.09,-.06,-.34,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.51,-.18,.06,.17,-.02,.08,.22,.33,.28,.08,.38,.04,.00,-.33,.02,.09,.23
1952,.16,.17,-.22,.18,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.03,.12,-.03
1953,.23,.37,.25,.41,.24,.25,.22,.18,.17,.27,.09,.23,.24,.23,.21,.30,.22,.18
1954,-.24,.00,-.17,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.43,-.12,-.43,-.24,-.13,-.10,-.05,.07,-.02,.12,-.34,-.28,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.31,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.11,-.23,-.25,-.21,-.26,-.23,-.29
1957,-.13,-.06,-.10,-.09,-.06,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.69,.28,.16,.02,.12,.05,.05,.13,.07,.08,.03,.18,.15,.16,.40,.10,.07,.06
1959,.24,.17,.33,.22,.04,.14,.05,.10,.13,-.04,.03,.10,.13,.13,.19,.20,.09,.04
1960,.15,.42,-.40,-.12,.03,.18,.09,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.13,.03
1961,.17,.29,.22,.14,.07,.18,.06,.05,-.03,-.04,.07,-.17,.09,.13,.29,.14,.09,.00
1962,.28,.36,.30,.22,.02,-.13,.10,.03,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.08
1963,.07,.50,-.12,.04,-.05,-.04,.10,.14,.13,.42,.43,.03,.14,.14,.22,-.04,.07,.33
1964,-.04,-.03,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.21,-.27,-.19,-.17,-.01,-.24,-.15,-.27
1965,-.02,-.37,-.10,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.06,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,-.01
1967,-.18,-.37,.23,.05,.21,-.06,.04,.06,-.02,.30,.04,.02,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,.00,-.06,-.05,-.08,-.08,-.05,-.01,-.22,-.33,-.07,-.04,-.14,.12,-.07,-.09
1969,-.43,-.46,-.20,.03,.11,-.04,.06,.05,.04,.03,.15,.31,-.03,-.08,-.41,-.02,.02,.07
1970,-.03,.27,-.07,-.02,.00,.02,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.18,-.03,-.03,-.08
1971,-.15,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.02,-.14,-.15,-.17,-.22,-.20,-.14,-.11
